grade,AVERAGE of default_flag,
A,0.04897595726,
B,0.1169332598,
C,0.1869772999,
D,0.2938331318,
E,0.3391089109,
F,0.4264705882,
G,0.6818181818,
Grand Total,0.1721953659,
,,
,,
fico_bucket,AVERAGE of int_rate_clean,
650-699,0.1354906137,
700-749,0.1094356513,
750+,0.08491019108,
Grand Total,0.1231500083,
,,
,,
,,
,,
,,
,,
,,
dti_bucket,AVERAGE of default_flag,
0-20%,0.1377952756,
20-35%,0.2088091354,
35-45%,0.2708333333,
45%+,0.2,
Grand Total,0.1721953659,
,,
,,
grade,AVERAGE of int_rate_clean,AVERAGE of default_flag
A,0.06815690116,0.04897595726
B,0.09958290127,0.1169332598
C,0.1329864397,0.1869772999
D,0.1700053204,0.2938331318
E,0.1992237624,0.3391089109
F,0.2346323529,0.4264705882
G,0.2764909091,0.6818181818
Grand Total,0.1231500083,0.1721953659
,,
,,
,,
,,
grade,COUNTA of loan_status,
A,1123,
B,1813,
C,1674,
D,827,
E,404,
F,136,
G,22,
Grand Total,5999,